Original row	Sample	0h	6h	3d	7d	11d
7	SMED30000041	-0.63205296	-1.0847857	1.3634068	-0.3244896	0.67792153
54	SMED30000371	-1.6538091	0.42073414	1.0017437	-0.05411484	0.2854461
98	SMED30000661	-0.53554153	-0.49490437	1.7693408	-0.18956517	-0.54932976
103	SMED30000684	-0.95890146	-0.59676456	1.45695	0.59562016	-0.49690408
134	SMED30000858	0.026747076	-0.49409124	1.0198072	-1.4081644	0.8557013
148	SMED30000976	-1.2410325	-0.15369777	1.5227416	0.16974637	-0.29775774
197	SMED30001230	-1.1497846	-0.6842783	1.2703474	0.74934506	-0.18562953
208	SMED30001299	-1.2143013	-0.67486656	1.2959929	-0.030904202	0.6240793
222	SMED30001366	-0.41264424	-0.37469345	1.0057958	1.0426916	-1.2611498
228	SMED30001426	-0.63491833	-0.37889388	1.7779865	-0.38918573	-0.37498856
323	SMED30001910	-1.4762739	0.5643055	1.1795325	-0.32753778	0.059973687
366	SMED30002147	-1.2413441	0.77646923	1.2296737	-0.5430298	-0.22176906
473	SMED30002750	0.41654968	-1.5478424	1.1907682	-0.103806585	0.044331048
494	SMED30002842	-1.2752738	0.5362745	1.3680375	-0.22309835	-0.40593985
520	SMED30002972	-0.83739984	-0.34795249	1.41797	0.6386735	-0.87129104
583	SMED30003345	-1.1032028	-0.09968018	1.5193309	0.2970625	-0.61351043
631	SMED30003546	-0.76437765	-0.22371943	1.2628338	0.7935417	-1.0682784
727	SMED30004089	-0.72092277	0.14536901	1.3332316	-1.213882	0.4562042
747	SMED30004194	-1.6983995	0.33724663	0.8436486	0.53808653	-0.02058223
755	SMED30004256	-1.3834023	-0.34941933	1.3586462	0.031876817	0.34229872
763	SMED30004313	-1.0162117	-0.8239239	1.4085217	0.5409106	-0.10929656
765	SMED30004318	-0.92760307	-0.9443932	1.3264612	-0.13916111	0.68469626
781	SMED30004415	-0.21243677	-1.5153458	1.2131087	0.42244372	0.09223014
850	SMED30004776	0.24775343	-1.5395467	1.2027763	0.2871826	-0.19816563
853	SMED30004814	-0.99567133	-0.54248554	1.6456418	-0.03900381	-0.06848112
866	SMED30004906	-0.427206	-0.7406857	1.6718004	0.16457973	-0.6684884
869	SMED30004920	-0.82069147	-0.85583323	1.5696164	0.30305836	-0.19615011
906	SMED30005081	-1.103673	0.14582837	1.5943089	-0.4084434	-0.22802082
938	SMED30005301	-0.4994645	-0.29049215	1.5087286	-1.1115731	0.39280117
967	SMED30005493	-0.9738814	-0.5769899	1.5585357	0.37667707	-0.38434145
978	SMED30005553	-1.0178994	0.3367302	1.4426017	-0.87036115	0.10892867
1013	SMED30005705	-1.4234143	-0.21231891	1.036167	-0.2813495	0.8809158
1027	SMED30005748	-0.6907302	-0.88677704	1.4579333	0.60924125	-0.48966718
1029	SMED30005769	-1.2477294	0.4648303	0.51759124	-0.8481644	1.1134722
1045	SMED30005864	-1.5026835	-0.3000222	1.1102891	0.046653263	0.64576346
1064	SMED30005965	-0.86417186	0.16923162	1.6202703	-0.17011252	-0.75521755
1080	SMED30006045	-1.0563351	0.31576	1.1284057	-1.0412482	0.6534175
1092	SMED30006114	-0.9595563	-0.7826038	1.191509	-0.39380857	0.94445974
1099	SMED30006144	-0.59493715	-0.29322603	0.31674904	-0.99813116	1.5695453
1124	SMED30006260	-0.65518945	0.25586942	1.5864961	-0.21702872	-0.97014743
1142	SMED30006356	0.5088559	-1.2057186	1.3993101	-0.14809418	-0.55435324
1167	SMED30006541	-0.057419643	-1.2917299	1.4351344	0.320896	-0.4068808
1168	SMED30006542	-0.9674848	-0.7965777	1.4004353	0.6302027	-0.26657566
1199	SMED30006748	-1.1821965	-0.7022233	1.1553652	-0.13978644	0.86884105
1228	SMED30006897	-1.6572853	0.61455137	0.61290216	-0.23658434	0.6664162
1269	SMED30007127	-1.4328717	-0.1415128	0.99112034	-0.33063594	0.9139
1278	SMED30007186	0.07394338	-0.47377083	1.5806568	-1.126334	-0.054495357
1309	SMED30007383	-1.2817883	0.64568526	1.3090023	-0.32582873	-0.34707046
1344	SMED30007577	-1.2346348	-0.7786697	1.258217	0.3534429	0.4016446
1358	SMED30007633	-0.2947035	-0.86032826	1.7248026	-0.41853	-0.15124083
1364	SMED30007664	-1.1927787	-0.78054446	1.2525641	0.09640443	0.62435466
1374	SMED30007725	-0.39475214	-0.72849286	1.7502148	-0.14966841	-0.47730136
1403	SMED30007886	-0.82970756	-0.2501095	1.7404381	-0.30119258	-0.35942847
1524	SMED30008591	-0.5343833	-0.109002866	1.7554386	-0.51957214	-0.5924803
1605	SMED30009084	-0.30754757	-0.41090235	0.46884882	-1.1953517	1.4449528
1608	SMED30009105	0.0021062095	-0.4868437	1.6345476	-0.11111544	-1.0386946
1675	SMED30009429	-1.4861922	-0.33932418	1.221666	0.32748315	0.27636725
1720	SMED30009735	-0.57155657	0.08142247	1.3952547	0.35686412	-1.2619848
1743	SMED30009863	-1.5073227	0.6208792	0.92058706	-0.514276	0.48013237
1819	SMED30010320	0.328031	-1.2686682	1.4158801	0.049808867	-0.52505183
1849	SMED30010502	-1.3071849	0.8093212	0.69855696	-0.8513945	0.65070134
1859	SMED30010532	-1.7492155	0.45936063	0.7483955	0.37690935	0.16454996
1871	SMED30010611	-0.7627846	-0.85629547	1.3059716	0.838587	-0.5254785
1902	SMED30010770	-0.51247543	-0.70397824	1.3792368	0.73293024	-0.8957134
1913	SMED30010838	-0.20216224	-0.91064864	1.6433635	0.11450173	-0.64505434
2028	SMED30011575	-0.90232456	0.011771251	1.1205156	-1.0906029	0.8606405
2103	SMED30011980	-1.3802258	0.1251378	1.4327627	-0.16206317	-0.01561166
2131	SMED30012164	-0.59564084	-0.45836607	1.6363064	-0.83340317	0.25110373
2139	SMED30012227	-0.43480447	-0.2743185	1.6910831	-0.04724037	-0.9347197
2146	SMED30012263	-0.47698876	-0.9661002	1.4014456	-0.6403194	0.6819627
2172	SMED30012386	-0.23232032	-0.95477635	1.2151278	0.8684528	-0.89648396
2238	SMED30012745	-1.5220083	0.38692892	0.77232754	-0.47873476	0.84148663
2264	SMED30012867	-1.6706779	0.45068732	0.7742849	-0.1688565	0.61456215
2294	SMED30013027	-0.72364706	0.27913624	1.6360312	-0.6730897	-0.5184306
2326	SMED30013205	-0.7648094	-0.23500651	1.603524	0.24874455	-0.8524526
2342	SMED30013293	-0.43126944	-0.48500636	1.3788579	0.65486234	-1.1174444
2354	SMED30013379	-0.24361333	-1.4185342	1.3404229	0.36077031	-0.039045643
2368	SMED30013432	-1.1020746	0.4096758	1.2041836	0.46403039	-0.97581506
2371	SMED30013451	-0.7418411	-1.0120679	1.5505073	0.119466245	0.08393542
2424	SMED30013784	-1.2059246	-0.36019805	1.4690946	0.40422225	-0.30719417
2427	SMED30013798	-1.6268588	0.30803424	1.0882995	0.26933843	-0.03881336
2463	SMED30014022	-1.0173551	-0.5850661	1.6192458	0.00873389	-0.025558442
2480	SMED30014112	-1.1505233	-0.635389	1.2732314	-0.25358024	0.7662611
2504	SMED30014235	-0.23712894	-0.19226958	1.7407134	-0.56360847	-0.74770635
2521	SMED30014333	-1.464924	-0.23352395	0.8899581	-0.17911224	0.98760206
2540	SMED30014462	-0.5507123	-0.43486366	1.7804269	-0.29303217	-0.5018187
2589	SMED30014689	-0.66972184	-0.41514048	1.7499526	-0.11388481	-0.5512054
2611	SMED30014790	-0.7040878	-0.40950817	1.7446995	-0.099401824	-0.5317016
2620	SMED30014842	-1.1759757	-0.31968978	1.515431	0.32038447	-0.3401501
2713	SMED30015353	-1.054207	-0.30399337	1.448899	0.54321414	-0.633913
2715	SMED30015358	-1.1825944	0.29387486	1.5195541	-0.37494537	-0.25588915
2731	SMED30015448	-1.2636873	-0.6560935	1.236692	0.66552275	0.017566018
2759	SMED30015595	-1.583852	-0.15557136	1.0942477	0.49823862	0.14693704
2796	SMED30015853	-0.27782726	-1.2735529	1.2918011	0.676797	-0.417218
2804	SMED30015917	-0.8003775	-0.35040084	1.3930514	0.6746885	-0.91696155
2866	SMED30016315	-0.8763832	-0.4385819	1.5183375	0.49562854	-0.6990009
2876	SMED30016383	-0.9525782	0.48076782	1.5017982	-0.7094442	-0.3205436
2898	SMED30016568	-1.1758642	-0.34312072	1.4340851	-0.42627558	0.5111754
2911	SMED30016666	-1.0650461	-0.21732375	1.6543016	-0.106698886	-0.265233
2934	SMED30016784	-1.1303353	-0.30958048	1.5968025	-0.25791046	0.10102376
2946	SMED30016861	-0.82801443	-0.73675734	1.3370308	0.80596757	-0.57822645
2974	SMED30017015	-0.3350909	-0.78220993	1.7333701	-0.10614473	-0.50992453
2983	SMED30017073	-1.4978637	0.46547353	1.149746	0.26608112	-0.383437
2990	SMED30017119	-0.9280977	0.45089525	1.288643	0.2818513	-1.0932919
3009	SMED30017203	-1.3075464	-0.69514877	1.2202106	0.46881762	0.31366703
3016	SMED30017226	-0.9401511	0.55370516	0.89634484	-1.2234777	0.7135788
3034	SMED30017295	-0.09831928	-1.0027374	1.6760585	-0.21551135	-0.35949054
3066	SMED30017467	-0.8760931	-1.1151314	1.3012966	0.5146253	0.17530264
3099	SMED30017648	-1.4708616	-0.22958636	0.9760764	-0.17109394	0.8954654
3117	SMED30017763	-0.38009128	-0.022412814	1.7150626	-0.8178084	-0.49475017
3118	SMED30017771	-0.9602803	-0.13990106	1.6861978	-0.44017953	-0.14583689
3156	SMED30017979	-1.0045769	0.44509006	1.0980986	-1.1183784	0.5797666
3167	SMED30018041	-1.172547	-0.57080835	1.3628885	0.62004083	-0.23957396
3185	SMED30018151	-1.3163085	-0.36619955	1.1581337	-0.30985823	0.83423257
3222	SMED30018389	-1.0366682	0.47553697	1.247198	-1.0169536	0.3308868
3244	SMED30018495	-0.41777876	-0.27055568	1.5965219	0.17478468	-1.0829722
3268	SMED30018643	0.17857866	-1.1224451	1.0798237	-0.9434686	0.80751127
3278	SMED30018703	-0.4109365	-0.3643931	0.9316343	-1.2652056	1.1089009
3283	SMED30018730	-0.6953297	-0.18533124	0.9418368	1.1081046	-1.1692804
3288	SMED30018767	-0.9083941	-0.20684291	1.4597648	0.5139478	-0.8584756
3296	SMED30018825	-1.3050638	0.38429698	1.1219082	-0.76019835	0.55905706
3334	SMED30019009	-0.5933427	-0.07944765	1.7451756	-0.63863647	-0.43374878
3359	SMED30019172	-1.4462111	0.4128869	1.3035582	-0.101795554	-0.16843855
3403	SMED30019364	-1.3694906	0.1993839	0.57670057	-0.5910166	1.1844227
3418	SMED30019465	-0.74508315	-0.38329747	1.7423427	-0.4989465	-0.11501552
3439	SMED30019592	-1.6225016	0.05367293	1.1162888	0.31602174	0.13651818
3512	SMED30019981	-0.7922745	-1.0228862	1.3741717	-0.19207177	0.63306063
3599	SMED30020497	-0.9278574	-0.827359	1.0598532	-0.39039156	1.0857548
3600	SMED30020508	-0.87441206	-0.36931553	1.7191943	-0.36091292	-0.114553735
3667	SMED30020934	-0.92070824	-0.3579866	1.7104783	-0.2668209	-0.1649625
3668	SMED30020941	-1.1280508	0.33092278	1.2469833	0.46855617	-0.91841143
3674	SMED30020974	-1.1544865	-0.56018895	1.5253153	0.028219922	0.16114028
3708	SMED30021178	-1.757284	0.38982818	0.74937993	0.24817842	0.36989748
3735	SMED30021321	-0.97736245	-0.71747565	1.3021028	-0.41901803	0.8117533
3738	SMED30021353	-0.7317893	0.2652963	1.6249775	-0.37613255	-0.782352
3794	SMED30021666	-1.3783782	0.8390714	0.8099265	-0.72836745	0.4577476
3851	SMED30021987	-0.5136302	0.059768	1.7059232	-0.76497185	-0.48708916
3902	SMED30022290	0.2817189	-1.6724713	1.0075037	0.3238562	0.05939247
3928	SMED30022402	-1.4290627	0.9612986	0.8219832	-0.5613574	0.2071383
3967	SMED30022653	-1.0467461	-0.453533	1.5347079	-0.4311645	0.3967356
3970	SMED30022676	-1.5691634	-0.026553294	1.2091902	0.20271829	0.18380815
3977	SMED30022710	-1.1489629	-0.3709569	1.5404764	-0.30096415	0.28040743
3990	SMED30022797	-1.3310219	-0.20813872	1.3874522	-0.2766565	0.42836496
4004	SMED30022865	-1.63201	0.4326538	0.92022896	-0.22346297	0.50259024
4021	SMED30022978	-0.38948154	-0.82062674	1.7153031	-0.48172668	-0.023468053
4025	SMED30023014	-1.149962	0.07475944	1.5914623	-0.31282935	-0.2034304
4076	SMED30023289	-0.6712441	-0.71822774	1.6151384	-0.55973685	0.33407027
4117	SMED30023484	-0.91416717	-0.9943205	1.1916803	-0.14090426	0.8577116
4154	SMED30023617	-0.9485978	0.38946426	0.22983333	-1.0272889	1.3565891
4167	SMED30023694	-0.4540808	0.046747938	0.15631649	-1.2411823	1.4921987
4194	SMED30023858	-0.3896543	-0.9755027	1.2559825	0.86486876	-0.75569427
4228	SMED30024045	-1.3068737	0.22656032	1.4148088	-0.46984	0.13534461
4264	SMED30024247	-1.4053541	-0.33035967	1.3445525	0.32111332	0.07004798
4267	SMED30024271	-1.2840345	0.66894054	0.71065444	-0.88269895	0.7871384
4272	SMED30024291	-1.3753765	-0.08787997	1.4326485	-0.13907592	0.16968387
4278	SMED30024319	0.23819965	-0.7058287	1.3177671	0.39565906	-1.2457972
4295	SMED30024416	0.36431438	-1.262401	1.4187824	-0.5104615	-0.010234227
4355	SMED30024790	-1.353193	-0.12387801	1.4500313	0.17252679	-0.14548704
4381	SMED30024950	0.21812186	-0.4410227	1.6512656	-0.6395813	-0.7887835
4451	SMED30025326	-1.030331	0.009315266	1.5938035	0.055716075	-0.6285039
4454	SMED30025335	-0.3249104	-0.5396054	1.1362913	0.9306887	-1.2024642
4479	SMED30025506	-0.6280739	-0.63948244	1.0041307	-0.90597945	1.1694051
4501	SMED30025603	-0.49743336	-0.37476075	1.4031365	-1.1321812	0.6012388
4517	SMED30025696	-0.6106666	-0.9936406	1.6225626	-0.06781575	0.049560275
4531	SMED30025793	0.18958585	-1.4538618	1.0843624	0.66368014	-0.48376653
4541	SMED30025826	-1.3485305	0.004700309	1.1888971	-0.53733623	0.6922693
4556	SMED30025878	-1.7162286	0.23708043	0.90560764	0.20384653	0.369694
4602	SMED30026124	-1.4984795	-0.3274741	1.2059462	0.28989005	0.3301173
4620	SMED30026206	-1.5582078	-0.2743522	1.1093072	0.31361717	0.40963554
4622	SMED30026213	-1.072676	-0.18934855	0.9930482	1.0808482	-0.81187195
4635	SMED30026275	0.06688718	-0.80709946	1.6388665	-0.09264577	-0.8060085
4763	SMED30026982	-1.0494776	-0.23488136	1.6603178	-0.27770057	-0.098258354
4766	SMED30026999	-0.47612223	0.098119654	0.8153673	-1.4440827	1.006718
4877	SMED30027617	-1.1571736	0.29551202	1.4198686	-0.72732085	0.1691139
4882	SMED30027652	-1.0399126	0.173034	0.97548604	-1.0369456	0.92833817
4914	SMED30027855	0.107672095	-0.40829864	1.4661933	0.12173879	-1.2873056
4927	SMED30027908	-1.5831243	-0.069727324	1.1468817	0.40384138	0.10212852
4944	SMED30027986	-0.60165244	-0.5001555	1.7733803	-0.2423072	-0.42926514
4978	SMED30028170	-0.9069117	0.04909103	1.6657358	-0.59639204	-0.21152313
4984	SMED30028190	0.36747572	-1.31738	1.3818183	-0.4677256	0.035811584
4995	SMED30028260	-0.90394896	-0.13756315	1.7049747	-0.19585842	-0.46760413
5002	SMED30028309	-1.2966828	-0.36663166	1.4667897	0.18015121	0.016373577
5080	SMED30028728	-1.2587699	0.21379803	1.23826	0.5428168	-0.7361051
5102	SMED30028883	-1.0596676	-0.9464086	1.3119211	0.44544634	0.24870877
5166	SMED30029241	-1.7361435	0.25959048	0.83616596	0.2359402	0.40444687
5175	SMED30029303	-1.2547425	-0.3654305	1.5080595	0.1320618	-0.019948263
5184	SMED30029354	-0.23658575	-0.5160018	1.0512208	0.9749862	-1.2736193
5210	SMED30029581	-1.6232024	0.7725461	0.80415946	-0.22234572	0.26884252
5231	SMED30029708	-1.4332438	-0.19480717	1.3456844	-0.027829282	0.31019574
5265	SMED30029890	-1.6318768	-0.07213986	0.9768984	0.12576413	0.6013542
5304	SMED30030175	-1.097141	0.10914261	1.503459	-0.699958	0.18449746
5362	SMED30030505	-1.1759788	-0.577681	1.4836738	-0.016044406	0.2860304
5393	SMED30030659	-0.48044127	-0.4719643	1.7436726	-0.7062618	-0.085005246
5444	SMED30030917	-0.44437188	-0.90026915	1.7080473	-0.24724455	-0.116161734
5455	SMED30031010	-0.39360532	0.065513566	0.9397427	-1.4828149	0.8711639
5535	SMED30031431	-0.5798374	0.035524063	1.720024	-0.6681561	-0.5075546
5548	SMED30031491	-0.37025183	-1.2960224	1.451481	0.2707586	-0.0559653
5789	SMED30032889	-1.2179443	-0.68990713	1.3562386	0.43252027	0.11909253
5833	SMED30033153	-1.1257269	-0.8346639	1.3344399	0.14058366	0.48536724
5834	SMED30033155	-1.7329817	0.537466	0.7885371	0.16287912	0.24409945
5848	SMED30033250	-0.6975585	-0.7596866	1.6936148	0.023274677	-0.25964442
5854	SMED30033282	-0.31826517	-0.16372016	1.6049217	0.0154357245	-1.1383721
5863	SMED30033335	-1.133696	-0.58696634	1.5224779	0.22681569	-0.028631175
5929	SMED30033644	-0.9813458	-0.5493952	1.5252278	0.45485756	-0.44934434
5936	SMED30033674	-1.0078006	-0.6417884	1.5959282	-0.0827575	0.1364184
6020	SMED30034156	-0.9991689	-0.5912603	1.6172333	0.12126427	-0.14806838
6046	SMED30034279	-1.0038704	0.3347769	1.3249229	0.346508	-1.0023375
6061	SMED30034357	-1.1412262	-0.4276253	1.5849361	0.027926048	-0.044010725
6102	SMED30034539	-0.79678446	-0.3456677	1.737159	-0.4571794	-0.13752748
6121	SMED30034630	-0.91644365	0.21779703	1.635229	-0.47630554	-0.4602768
6129	SMED30034671	0.24419527	-0.690344	1.6040721	-0.247033	-0.9108904
6165	SMED30034858	-0.7413721	-0.065124236	1.1653837	0.8264408	-1.1853281
6185	SMED30034947	-1.2703549	-0.7128045	1.2581015	0.48987573	0.2351821
6209	SMED30035068	-0.8446172	-0.3687178	1.730157	-0.3672066	-0.1496155
6220	SMED30035118	-1.3918986	0.42551714	0.9443332	-0.6923766	0.7144249
6241	SMED30035226	0.22258951	-1.227015	1.3494313	0.3587263	-0.703732
6277	SMED30035411	-1.6312696	0.75383633	0.87702113	0.027813355	-0.02740134
6278	SMED30035413	-1.0870526	0.32963413	1.442778	-0.78607064	0.10071105
6289	SMED30035471	-1.6659292	-0.0028789456	1.0001785	0.31454548	0.3540842
6325	SMED30035680	-0.9975659	-1.0041121	1.3190348	0.23230895	0.4503342
6342	SMED30035746	-1.1960206	-0.049041983	1.5096556	0.22341755	-0.48801047
6346	SMED30035772	-0.6504696	-1.2579955	1.3211364	0.48918676	0.09814201
6384	SMED30036025	-1.0092766	0.54646116	1.4214717	-0.16101354	-0.7976427
17	SMED30000107	-1.5804652	0.46639562	0.9928331	0.44241542	-0.32117888
35	SMED30000223	-0.9898925	-0.31976026	1.4037408	0.63959694	-0.7336851
36	SMED30000242	0.06882633	-0.5925875	1.1908312	0.6673479	-1.3344178
43	SMED30000293	0.49102578	-1.3201592	1.116544	-0.74707097	0.45966044
52	SMED30000362	0.03030874	-1.5557084	1.1163067	-0.148323	0.557416
56	SMED30000377	-1.0974072	0.55952144	0.26201087	-0.95200056	1.2278755
74	SMED30000511	-1.7192543	0.5071904	0.63985085	-0.04084904	0.613062
79	SMED30000527	-1.2904458	-0.41574222	1.2911555	-0.2445344	0.659567
90	SMED30000613	-0.9366139	-0.22711831	1.708654	-0.23244111	-0.31248072
95	SMED30000644	-1.241601	-0.13524586	1.2957131	0.6561851	-0.5750513
102	SMED30000681	-0.5449566	-0.6890875	1.735384	-0.037418306	-0.4639215
116	SMED30000754	-1.2242483	0.5660066	0.48213628	-0.89502686	1.0711322
152	SMED30000996	-1.2601522	-0.056085765	1.4939256	0.19511986	-0.3728075
154	SMED30001010	-1.0791157	-0.14796238	0.5750152	-0.7394217	1.3914846
155	SMED30001022	-0.9421553	-0.100165	1.4115968	-0.90627605	0.5369996
157	SMED30001031	-1.3413272	0.2036597	1.4239584	0.069839746	-0.3561307
166	SMED30001081	0.12821607	-0.40137964	0.9178306	-1.4996704	0.85500336
177	SMED30001121	-1.4391173	-0.30692255	1.2145588	0.59615725	-0.064676225
178	SMED30001122	-0.76211005	-0.4565007	1.2482252	0.89411813	-0.92373264
192	SMED30001195	-0.9462377	-0.58587015	1.6592958	-0.05914684	-0.06804104
227	SMED30001400	0.4492354	-1.4000447	1.3171607	-0.048931137	-0.3174204
250	SMED30001510	-1.5714151	-0.03578858	1.020894	0.6901872	-0.10387761
254	SMED30001543	-1.0616114	0.10050935	1.436063	0.34895274	-0.8239138
259	SMED30001556	-0.6616089	-0.25519386	1.7085019	-0.7597019	-0.0319974
262	SMED30001583	-1.5625603	0.15996419	1.1107723	-0.2121533	0.5039772
267	SMED30001613	-1.1088214	0.2843268	1.4425129	0.14807767	-0.76609594
279	SMED30001656	-0.7523897	-0.7773095	1.6046823	0.31739077	-0.3923739
282	SMED30001661	-1.5835769	0.7555556	0.95533764	-0.04569857	-0.08161771
295	SMED30001733	-0.98483616	-0.1976941	1.3708692	-0.8337628	0.645424
300	SMED30001779	-0.58073246	-0.06964486	1.5289068	-1.1227982	0.24426872
304	SMED30001794	-1.3626815	-0.12141274	1.1337986	0.80024993	-0.44995436
320	SMED30001901	-1.3928804	-0.09375921	1.4314351	0.044378664	0.010825928
345	SMED30002040	-1.0018734	-0.858872	1.4129722	0.508358	-0.06058484
363	SMED30002139	-0.5653746	-0.95305675	1.6438959	-0.23847353	0.11300898
372	SMED30002176	-0.21516012	-1.1698445	1.5464524	0.219794	-0.3812418
378	SMED30002225	-1.0413129	-0.5319402	1.1452336	0.9980845	-0.57006496
395	SMED30002317	-1.3305677	0.17790715	1.2989703	0.42680088	-0.57311064
402	SMED30002346	-0.8738132	-1.0625618	1.3566949	0.5120757	0.067604244
413	SMED30002413	-1.6234633	-0.0922198	0.98922914	0.12508778	0.60136616
416	SMED30002443	-0.8270899	-0.76244855	1.652827	-0.012218016	-0.051070515
424	SMED30002478	-1.3246166	0.19485211	1.4645866	-0.111033715	-0.22378848
445	SMED30002574	-1.0442419	-0.28148142	1.193288	-0.7697313	0.9021666
451	SMED30002604	-0.37023982	-1.3581965	1.2646216	0.6264926	-0.1626779
474	SMED30002752	-1.1349092	0.104555726	1.5760083	-0.45772925	-0.08792563
488	SMED30002808	-0.7333492	-0.2567007	1.7423865	-0.17946014	-0.57287633
504	SMED30002897	0.27525297	-1.241214	1.4772861	-0.44344246	-0.06788249
505	SMED30002899	-1.2210193	-0.53406	0.9676872	-0.30540353	1.0927956
508	SMED30002903	-1.7047259	0.2723554	0.9451129	0.18124369	0.3060139
526	SMED30003012	-1.6419053	0.16255446	1.0080042	-0.038704924	0.5100515
531	SMED30003048	-1.5510157	0.5673266	1.1024573	-0.2175386	0.09877035
542	SMED30003095	-0.7663548	-0.83642226	1.6397856	0.089930825	-0.12693942
543	SMED30003096	-0.7506099	-0.90364474	1.5789852	0.2866164	-0.21134706
548	SMED30003109	-1.703086	0.22865772	0.88112295	0.51440287	0.078902535
556	SMED30003145	-1.3572459	-0.4227152	1.1340207	-0.16925591	0.81519634
557	SMED30003153	-0.66586185	-0.0447391	1.3385476	-1.1987779	0.57083124
572	SMED30003248	-1.3732704	0.5745904	1.1483105	0.27476045	-0.62439096
582	SMED30003334	-1.1203076	0.38415572	1.5146568	-0.38165763	-0.39684728
592	SMED30003384	-0.8929948	0.15746354	1.4660593	0.251826	-0.982354
600	SMED30003414	-0.667398	-1.1332822	1.3417611	-0.19752115	0.6564402
652	SMED30003681	-0.604279	-1.0370969	1.234177	0.893954	-0.48675507
667	SMED30003793	-1.2614166	-0.22357947	1.5220473	0.12556857	-0.16261977
681	SMED30003857	-1.4023492	-0.46792915	1.2786632	0.3431111	0.24850415
695	SMED30003936	-1.2658374	0.7814693	1.0395294	-0.8030509	0.24788962
700	SMED30003957	-0.692873	-0.5317174	1.4625573	0.6123904	-0.8503573
702	SMED30003963	-0.5798039	-1.2294291	1.4005233	0.43602747	-0.027317785
711	SMED30003997	-1.3159446	0.66555464	1.2732514	-0.38277233	-0.2400892
722	SMED30004067	-0.27161747	-0.80165964	1.7461194	-0.2720996	-0.40074262
740	SMED30004160	-0.19829361	-0.9290418	1.7108102	-0.3070386	-0.2764361
745	SMED30004184	-0.39369282	-0.7105007	1.6398987	0.23585239	-0.7715574
750	SMED30004208	-0.10049455	-0.67566484	1.2911491	0.6735542	-1.1885439
782	SMED30004423	-1.6047276	0.41707438	1.0195526	0.39812186	-0.23002116
786	SMED30004448	-0.02514425	-0.27794752	1.0208012	-1.5039583	0.78624886
791	SMED30004483	-0.9353423	0.032373212	0.6750215	-1.0354723	1.2634199
800	SMED30004519	-1.5563025	0.5886419	0.5277922	-0.43432721	0.87419575
808	SMED30004558	-0.70289886	0.26668862	1.2913778	-1.2646912	0.40952367
825	SMED30004648	-1.6677788	0.6580074	0.87939394	0.10824179	0.022135809
832	SMED30004696	-1.1039493	-0.4572266	1.3719232	-0.485097	0.6743497
835	SMED30004701	-1.357225	-0.57042545	1.2426118	0.5065807	0.17845789
837	SMED30004705	-1.5284399	0.5727488	0.5831751	-0.49431273	0.86682874
843	SMED30004739	-0.99517083	-0.58082086	1.404707	-0.4993411	0.67062575
846	SMED30004746	-0.49384466	-0.68152535	1.7367169	-0.52346987	-0.03787698
847	SMED30004749	-0.8590111	-0.28014946	1.5219823	-0.8214544	0.4386326
852	SMED30004800	-0.42513323	0.04486723	1.6574105	-0.9954267	-0.2817177
855	SMED30004840	-1.1770203	-0.08228907	1.5355161	0.18739393	-0.46360067
863	SMED30004881	-1.1065663	0.25449845	1.3634744	-0.8560826	0.34467608
864	SMED30004884	-1.0840077	-0.6216136	1.4165177	0.58625925	-0.29715547
865	SMED30004893	-0.92818284	-0.9348092	1.4504012	0.40101197	0.011578937
875	SMED30004942	-0.92186886	-0.3743516	1.1439731	0.9952958	-0.84304845
881	SMED30004964	-1.4562222	0.7788091	1.0536704	-0.40244997	0.026192697
888	SMED30005011	-1.6255156	0.022890434	1.0982563	0.3613044	0.1430644
897	SMED30005053	-0.65847015	0.14033225	1.2806269	0.51765037	-1.2801393
919	SMED30005173	-1.2900418	-0.3808149	1.4733472	0.114806816	0.082702674
922	SMED30005207	-1.3314868	-0.29091683	1.2563303	-0.31553113	0.68160444
936	SMED30005296	-0.31377184	-1.0236787	1.4440128	0.5642861	-0.6708484
952	SMED30005391	-1.0703648	0.5936674	1.1772923	-1.0100112	0.30941632
994	SMED30005632	-1.1888064	-0.66612023	1.433202	0.21468061	0.20704406
1007	SMED30005685	-1.4733052	-0.2506472	1.257674	0.42819828	0.03808019
1022	SMED30005732	-1.0813942	-0.73278236	1.3019754	0.73947513	-0.22727396
1033	SMED30005783	0.26503164	-1.0136917	0.84935886	-1.0933515	0.9926527
1037	SMED30005795	-0.26625636	-0.2985629	1.7521998	-0.41365176	-0.77372867
1038	SMED30005804	-1.6995283	0.43030217	0.8491963	0.45198253	-0.031952705
1043	SMED30005843	-0.755581	-0.34699816	1.7363229	-0.5325762	-0.10116752
1051	SMED30005883	-0.7377678	-0.28211778	1.7152718	-0.6576686	-0.037717696
1056	SMED30005932	-0.92745966	-0.7550734	1.6002285	-0.011593563	0.093898095
1061	SMED30005950	-0.4756373	-0.671206	1.7328379	-0.5657882	-0.020206356
1066	SMED30005979	-0.4738905	0.010923332	1.2595876	0.56901735	-1.3656378
1077	SMED30006034	-1.0128375	-0.6520551	1.5429935	0.3444327	-0.22253369
1083	SMED30006063	-0.7061387	-0.9340297	1.3893163	-0.45219558	0.7030477
1105	SMED30006179	0.2603547	-0.8699321	1.5038419	0.05983851	-0.954103
