Sample	0h	6h	3d	7d	11d
SMED30000001	3.24798	3.6759	3.31778	2.79237	3.7667
SMED30000002	0.0217148	0.0512484	0	0.0882534	0.049912
SMED30000003	0.495496	0.752346	0.592156	0.206114	0.423141
SMED30000004	3.28763	2.74143	2.74387	7.87172	8.7383
SMED30000005	2.53246	2.76755	4.4097	4.35343	5.59156
SMED30000006	0.811243	0.943638	1.17524	1.75043	1.63354
SMED30000007	0	0	0	0	0
SMED30000008	0.0359365	0.0146749	0.188869	0.147326	0.045266
SMED30000009	14.6037	22.8068	18.4057	17.8385	16.9124
SMED30000010	1.1554	1.64229	1.41599	1.17595	1.60138
SMED30000011	0.242197	0.374457	0.359183	0.190132	0.336795
SMED30000012	1.96258	1.71755	1.76605	1.57348	1.7014
SMED30000013	334.053	329.031	174.476	218.26	229.227
SMED30000014	41.5077	36.797	45.351	64.4587	70.9234
SMED30000015	74.5537	77.1856	76.1	80.5543	78.8032
SMED30000016	1.67183	1.74845	2.06584	1.52234	1.70102
SMED30000017	0.151504	0.300435	0.181641	0.254802	0.215688
SMED30000018	1.64662	1.65797	2.48352	2.46879	3.22445
SMED30000019	21.6073	21.0979	23.8723	22.7793	23.1564
SMED30000020	11.6461	11.4719	14.8677	15.5843	14.1025
SMED30000021	0.0231192	0.0540898	0.0863612	0.0865719	0.0421231
SMED30000022	55.6178	37.8513	189.747	173.364	96.3485
SMED30000023	1.01517	0.998886	0.668128	1.43671	1.3549
SMED30000024	0.159682	0.203339	0.204747	0.235838	0.172783
SMED30000025	3.22106	3.70474	4.60949	3.94971	3.56785
SMED30000026	1.00254	0.976038	0.886568	0.740191	0.548565
SMED30000027	5.79819	4.64412	0.0730347	0	0.0139997
SMED30000028	0.299169	0.303137	0.289149	0.180638	0.328421
SMED30000029	0.620532	0.356563	0.64117	0.351735	0.761011
SMED30000030	0.171119	0.169573	0.265649	0.31377	0.241827
SMED30000031	6.44572	9.63912	8.51939	9.2359	7.85474
SMED30000032	4.00154	4.63671	5.40808	4.39538	4.4097
SMED30000033	22.4761	22.8518	18.3561	17.1803	18.5373
SMED30000034	3.53117	3.14125	3.75634	1.90514	3.40865
SMED30000035	5.5223	5.71346	3.95295	4.69478	4.57283
SMED30000036	0.557987	0.56076	0.438713	0.480706	0.330976
SMED30000037	0.631503	0.534789	0.669017	0.514021	0.461552
SMED30000038	125.329	117.267	160.556	90.7069	97.6139
SMED30000039	16.078	16.7773	17.0717	15.8477	16.7421
SMED30000040	20.1941	19.5079	25.5502	25.4252	24.4563
SMED30000041	4.24836	4.32244	5.82462	3.67357	3.76117
SMED30000042	0.18865	0.275205	0.342289	0.200133	0.1421
SMED30000043	10.9329	11.4568	8.29548	7.89394	7.8707
SMED30000044	1.91824	1.80598	2.24429	2.05051	2.4032
SMED30000045	2.85454	2.43368	0.370641	0.545228	0.623227
SMED30000046	55.5021	56.0993	48.8464	58.1444	55.5958
SMED30000047	0.0342553	0.0590248	0.167706	0.0285855	0.0447497
SMED30000048	8.54619	6.65753	6.85657	8.96615	9.54899
SMED30000049	12.5514	13.9403	13.718	13.7653	13.6535
SMED30000050	4.13621	4.4292	5.45229	4.77673	4.4604
SMED30000051	4.01462	3.37663	0.0523044	0.0238829	0.0352393
SMED30000052	1.12968	0.881584	1.50186	1.10539	1.10075
SMED30000053	1.25181	1.05105	1.72693	2.44344	1.82814
SMED30000054	11.1718	11.102	12.6329	12.9287	13.0525
SMED30000055	13.2348	13.4166	12.9901	13.9372	13.5514
SMED30000056	0.186805	0.234363	0.0636839	0.0704295	0.0369028
SMED30000057	1.10894	1.21939	1.23773	1.42516	1.3004
SMED30000058	189.23	176.886	204.128	240.874	219.383
SMED30000059	8.55811	10.0945	11.6366	7.68662	8.88349
SMED30000060	0.119271	0.320542	0.290944	0.240459	0.0364557
SMED30000061	0.0210279	0	0.0427663	0.0556657	0
SMED30000062	1.1131	1.10374	0.956937	1.19677	1.11491
SMED30000063	0.086862	0.0464616	0.0900373	0.0703362	0.107363
SMED30000064	37.6056	42.2675	45.8634	45.5032	51.8894
SMED30000065	452.105	464.648	440.488	561.559	552.592
SMED30000066	0.0662859	0.141684	0.0281257	0.129838	0.206896
SMED30000067	0.104439	0.161077	0.243306	0.244119	0.217857
SMED30000068	0.470723	0.248807	0.525205	0.264075	0.32795
SMED30000069	0.516355	0.613481	0.194539	1.07216	0.362621
SMED30000070	1.49306	0.94762	1.34469	1.44293	1.12509
SMED30000071	1.1582	0.766669	0.865397	1.14553	0.772504
SMED30000072	18.1081	16.3291	16.9489	15.1353	14.5921
SMED30000073	0.168264	0.196046	0.131265	0.166959	0.164618
SMED30000074	0.524666	0.48054	0.831382	0.561993	0.478268
SMED30000075	0.373733	0.580494	0.705472	0.484548	0.456967
SMED30000076	0.551819	0.7144	0.354137	0.390403	0.631314
SMED30000077	0	0.0106767	0.01991	0	0.0121726
SMED30000078	26.2243	32.0706	39.9372	43.1656	42.0572
SMED30000079	11.6497	9.38285	0.389495	0.232105	0.217988
SMED30000080	0.267607	0.31495	0.598308	0.628845	0.474017
SMED30000081	0	0.0128119	0.012142	0	0.0097748
SMED30000082	14.9677	14.8938	14.5443	12.303	13.2049
SMED30000083	4.11286	3.35319	3.72233	3.07147	3.62686
SMED30000084	1.42137	1.26759	0.958713	0.83489	0.801519
SMED30000085	2.46906	2.22398	0.531154	0.520259	0.691579
SMED30000086	4.32923	5.02941	6.38803	4.77325	5.32036
SMED30000087	1.68774	1.67751	2.15725	2.65345	2.60579
SMED30000088	12.1963	10.1975	0.261907	0.0918823	0.0305176
SMED30000089	0.0789587	0.146956	0.13952	0.238929	0.160138
SMED30000090	2.75618	1.66372	1.32718	1.83251	1.48316
SMED30000091	0.469412	0.452965	0.587138	0.991083	0.73273
SMED30000092	1.80934	2.17356	2.248	1.95183	2.09782
SMED30000093	43.6997	48.5568	35.8199	40.5234	37.8317
SMED30000094	0.0115432	0.006442	0	0	0
SMED30000095	0.801244	0.680556	1.1075	1.58358	1.63003
SMED30000096	14.8268	15.9545	16.9955	16.684	16.0639
SMED30000097	0.0294538	0.0372423	0	0.0551501	0.042621
SMED30000098	0.0156727	0	0.0114308	0	0
SMED30000099	0.44731	0.293298	0.691851	0.407956	0.393044
SMED30000100	2.00669	2.24271	2.69464	3.63234	3.43816
SMED30000101	0.728931	0.738172	0.743912	0.631572	0.720838
SMED30000102	0	0.0146294	0	0	0
SMED30000103	64.2522	62.3228	57.583	69.2767	58.6186
SMED30000104	0	0.040123	0.0231639	0.00799773	0.00610523
SMED30000105	0.556505	0.465865	0.829407	0.618818	0.553836
SMED30000106	1.98353	2.36084	2.11591	2.09767	2.75231
SMED30000107	7.85232	6.36077	9.44396	13.6742	13.4567
SMED30000108	30.8827	29.3612	21.6421	27.6637	30.4893
SMED30000109	19.9789	18.1689	20.7048	25.44	28.0009
SMED30000110	0.470593	0.562542	0.789098	0.884713	1.00812
SMED30000111	0.674488	0.993714	0.893238	0.684281	0.607609
SMED30000112	22.1485	21.9843	18.9241	21.6591	20.1613
SMED30000113	13.9218	11.6269	3.46884	4.61364	11.9165
SMED30000114	12.0295	12.9213	13.7869	14.5289	14.4261
SMED30000115	101.796	90.237	10.1875	5.51773	5.94321
SMED30000116	0	0	0	0	0
SMED30000117	20.7313	21.607	25.0867	25.66	25.1229
SMED30000118	8.28579	7.76497	8.61879	5.81763	7.05107
SMED30000119	23.8002	24.5038	51.6264	54.9148	47.5807
SMED30000120	0.235462	0.10172	0.420122	0.331997	0.33466
SMED30000121	3.53603	3.74756	5.69171	5.65666	5.43867
SMED30000122	1.91876	1.98157	1.5383	1.79328	2.05429
SMED30000123	0.159908	0.301834	0.202581	0.174516	0.174752
SMED30000124	0.0448773	0.0516178	0	0	0.0158538
SMED30000125	1.33249	1.65613	1.96015	1.33608	1.44317
SMED30000126	11.7369	10.9576	8.35856	10.5194	11.164
SMED30000127	0	0	0	0	0
SMED30000128	0.146322	0.168838	0.0710017	0.0349183	0.0812411
SMED30000129	2.65231	2.60083	2.50352	4.04794	5.05369
SMED30000130	64.7098	65.1891	73.7507	58.9134	59.861
SMED30000131	14.5583	16.0549	15.9065	13.0632	14.6477
SMED30000132	17.778	17.7756	20.4874	20.1062	22.4674
SMED30000133	0.623201	0.601801	0.349879	0.426391	0.596374
SMED30000134	1077.32	1077.66	1117.63	1140.19	1163.93
SMED30000135	1.05375	0.873018	0.532091	0.574363	0.530539
SMED30000136	0.273679	0.192376	0.471636	0.494689	0.388896
SMED30000137	7.05097	7.68037	7.99847	7.03269	6.60506
SMED30000138	0.776256	0.778688	0.052216	0	0
SMED30000139	0.0292967	0.0172624	0.0455539	0.10287	0.0320166
SMED30000140	0.774208	0.78878	1.04463	0.802977	0.806096
SMED30000141	6.14685	7.29125	8.34624	5.53073	6.43508
SMED30000142	2.32781	2.55068	2.85764	2.25523	2.75238
SMED30000143	213.843	219.996	315.037	276.025	242.53
SMED30000144	2.15564	2.07551	1.53653	2.26658	2.50264
SMED30000145	1.49592	1.22626	0.381396	0.297171	0.301999
SMED30000146	1.1768	1.65305	2.28586	2.12548	1.85699
SMED30000147	16.1405	17.0723	20.7938	22.9637	20.5306
SMED30000148	0.243654	0.195259	0.170959	0.145502	0.156522
SMED30000149	0.290991	0.406663	0.338708	0.491131	0.376092
SMED30000150	0.267504	0.176552	0.627809	0.26429	0.21638
SMED30000151	0.00942837	0.010746	0.0197717	0	0.0239512
SMED30000152	4.36101	4.34928	4.49753	4.06021	4.39777
SMED30000153	5.25314	4.75447	4.69465	8.06586	9.55458
SMED30000154	5.995	5.09869	0.0287691	0.0228278	0
SMED30000155	0.0500798	0	0.0200562	0.039231	0
SMED30000156	57.9933	54.6024	61.4748	49.9615	52.9168
SMED30000157	1.78207	1.77207	1.56888	1.66658	1.36889
SMED30000158	66.3834	67.8179	56.4963	57.5379	55.8033
SMED30000159	1.94365	1.88145	1.99396	1.69989	1.42199
SMED30000160	5.92211	5.33994	5.17123	5.08373	5.07838
SMED30000161	0	0	0	0	0
SMED30000162	0.13981	0.132605	0.448226	0.225651	0.277193
SMED30000163	22.1609	24.6868	32.1068	25.9681	25.5886
SMED30000164	0.981205	1.26848	1.19797	1.23706	1.15625
SMED30000165	12.3107	12.0519	16.0323	10.5977	11.9367
SMED30000166	49.4534	51.2197	45.6775	55.017	49.0195
SMED30000167	0.582904	0.786364	0.806848	0.845809	0.936581
SMED30000168	0.492114	0.638041	0.536707	0.707766	1.03949
SMED30000169	0.580327	0.334727	0.474443	0.488608	0.468122
SMED30000170	6.87665	8.34187	7.26698	7.78475	7.12672
SMED30000171	0.540107	0.844454	0.573658	0.540517	0.732527
SMED30000172	0.0151497	0	0.11013	0.0840028	0.09118
SMED30000173	6.51304	5.5192	0.16791	0.0660895	0.0299635
SMED30000174	3.34705	3.84586	3.45123	2.83498	3.54289
SMED30000175	0.0684123	0.136999	0.164694	0.0430321	0.0891642
SMED30000176	1.01379	1.27559	1.01004	0.400295	0.654677
SMED30000177	0.812313	0.786579	0.194348	0.0192332	0
SMED30000178	0	0	0	0	0
SMED30000179	20.3731	23.3209	28.5381	29.8907	29.7463
SMED30000180	0.84805	0.799069	0.641743	0.811434	0.588388
SMED30000181	3.24099	3.40305	3.13898	2.85663	3.1015
SMED30000182	1.29774	1.06248	0.913299	1.32367	1.33959
SMED30000183	0.4798	0.603759	0.475509	0.583222	0.65777
SMED30000184	28.528	27.7246	26.9311	36.5877	38.5012
SMED30000185	0.261727	0.252044	0.234395	0.17616	0.233556
SMED30000186	18.8258	19.209	24.8789	16.9211	19.0589
SMED30000187	0	0.020206	0.018564	0	0
SMED30000188	32.1675	29.0747	18.8802	25.0453	27.1069
SMED30000189	15.8236	16.3422	19.1786	16.5777	16.6662
SMED30000190	12.6799	12.7381	16.4055	14.1392	14.27
SMED30000191	0.320205	0.253203	0.594896	0.719064	0.67436
SMED30000192	12.6699	13.1634	11.2331	13.3922	15.5862
SMED30000193	11.9288	11.1699	6.88549	6.82581	6.89315
SMED30000194	46.9144	46.4967	39.3767	42.1236	44.7871
SMED30000195	9.09465	9.53248	7.17487	7.97179	7.17211
SMED30000196	6.08022	5.60068	6.49464	6.9339	7.23587
SMED30000197	0.0322198	0.0136155	0.0121477	0	0
SMED30000198	26.9926	27.4559	29.5594	27.4636	27.4315
SMED30000199	0.208518	0.27231	0.172327	0.07209	0.208208
SMED30000200	34.7376	36.3431	31.668	38.6798	36.8567
SMED30000201	3.56773	3.53261	4.10497	3.36595	3.60945
SMED30000202	0.741877	0.978845	0.738704	0.789642	0.69207
SMED30000203	6.25102	6.20829	5.16438	5.27509	5.91407
SMED30000204	0.348786	0.231612	0	0	0.0337321
SMED30000205	1.82711	1.55565	1.72351	1.32949	1.53471
SMED30000206	7.61625	5.5552	0.350984	0.135938	0.180139
SMED30000207	0.870582	0.778898	1.01726	0.845869	0.791731
SMED30000208	0.230916	0.258094	0.155443	0.566234	0.380145
SMED30000209	16.1879	15.0519	21.1392	18.4303	19.9967
SMED30000210	0.456766	0.601197	0.864068	0.29058	0.314523
SMED30000211	0.106169	0.0626955	0.0882663	0.191316	0.148071
SMED30000212	101.232	107.04	102.251	96.5202	97.9046
SMED30000213	17.0334	14.0369	0.427867	0.231633	0.168503
SMED30000214	9.6208	10.4292	2.97707	0.097359	0.0180777
SMED30000215	1.00861	1.20758	1.6412	0.691808	0.752741
SMED30000216	0	0.0169586	0.0155805	0	0.0123195
SMED30000217	1.91963	1.77473	0.89676	0.677698	0.819722
SMED30000218	2.35041	2.08498	3.03323	1.79027	1.99929
SMED30000219	0	0	0	0	0
SMED30000220	1.2818	1.21259	1.68726	1.0259	1.10977
SMED30000221	16.7209	17.713	19.7155	19.9495	17.8371
SMED30000222	20.7271	32.3247	21.9884	20.29	20.702
SMED30000223	9.73003	10.0305	10.5554	10.9414	11.8302
SMED30000224	0.346428	0.394012	0.474399	0.349563	0.281978
SMED30000225	12.2724	12.2835	14.6296	12.4186	12.6439
SMED30000226	0.322843	0.160916	0.0784087	0.12662	0.0621762
SMED30000227	2.04148	2.06041	0.446934	0	0
SMED30000228	0.0820245	0.121316	0.159529	0.26046	0.114849
SMED30000229	0.080462	0.0970329	0.0146973	0.0328399	0.0414007
SMED30000230	0.0630837	0.06784	0.291167	0.15728	0.0693905
SMED30000231	0.0595119	0.0289306	0.0446514	0.0093531	0.0213165
SMED30000232	0.0242979	0.0244958	0.0177746	0.00740807	0.0236024
SMED30000233	0.0519652	0.0839179	0.282545	0.122489	0.204076
SMED30000234	0.417314	0.553518	0.677945	0.485901	0.420145
SMED30000235	0.900002	0.809946	0.734429	0.678547	0.559306
SMED30000236	22.1231	20.5925	23.8268	32.0855	31.2386
SMED30000237	0.0225926	0.0252168	0	0	0
SMED30000238	1.88646	1.64489	1.99	1.26378	1.44975
SMED30000239	0.184792	0.219689	0.328632	0.288896	0.433892
SMED30000240	715.42	712.817	820.951	616.976	699.484
SMED30000241	23.6288	22.9998	24.8882	19.4827	21.7092
SMED30000242	24.5975	22.1836	27.702	55.7988	51.7558
SMED30000243	2.02849	1.5469	2.28681	1.70003	1.67677
SMED30000244	3.67284	4.09135	5.03671	5.98367	6.46479
SMED30000245	33.0033	30.189	37.5738	32.0631	36.208
SMED30000246	0.142295	0.349059	0.179721	0.128743	0.151109
SMED30000247	13.9195	13.9989	15.5579	15.155	14.7505
SMED30000248	24.2517	24.6479	21.9514	23.4895	24.294
SMED30000249	0.0595471	0.0550714	0.0137146	0.277713	0.0858738
SMED30000250	0	0	0.0599863	0	0.0325613
SMED30000251	3.00439	3.77545	4.26441	3.8873	3.48751
SMED30000252	0.231084	0.199317	0.0775215	0.37475	0.061089
SMED30000253	27.5659	28.8649	29.9946	30.1118	29.8043
SMED30000254	0.0202738	0.0652594	0	0	0
SMED30000255	1.06318	1.13763	1.49239	0.579996	0.919988
SMED30000256	23.1655	22.9216	29.0208	15.9788	17.0766
SMED30000257	4.9545	5.57249	4.7502	4.3946	4.28188
SMED30000258	23.7005	23.3853	12.5307	12.8183	13.6199
SMED30000259	0.594352	0.610936	0.925552	0.431998	0.713897
SMED30000260	0.0341851	0.0700572	0.0736958	0.00701073	0.0196396
SMED30000261	10.3518	12.1653	12.3017	13.9219	12.2171
SMED30000262	7.99867	7.99324	7.83721	8.75577	8.42101
SMED30000263	1.97733	1.75244	2.44432	2.05342	2.72579
SMED30000264	0	0	0	0	0
SMED30000265	0.818825	1.49726	1.14112	1.03888	1.0891
SMED30000266	0.844344	0.601565	0.820987	0.676385	0.639205
SMED30000267	6.36704	6.46436	8.1371	9.36899	8.52174
SMED30000268	0.414683	0.362871	0.68341	0.328465	0.52443
SMED30000269	8.1846	6.44808	0.587574	0.36826	0.464682
SMED30000270	309.144	337.137	408.405	392.748	352.228
SMED30000271	0.223846	0.27615	0.225647	0.199144	0.215929
SMED30000272	0.540589	0.496729	0.437457	0.389019	0.417401
SMED30000273	2.60856	2.82352	5.12085	2.94031	3.24155
SMED30000274	18.6765	16.0099	18.6193	17.587	18.0058
SMED30000275	2.57778	3.03974	3.15338	2.72572	2.38043
SMED30000276	0.0330403	0.0398243	0.0492847	0.193759	0.190022
SMED30000277	0.143272	0.239246	0.54335	0.273739	0.250749
SMED30000278	0.189735	0.110928	0.375101	0.383881	0.386609
SMED30000279	3.40923	2.91426	0.0191804	0.00259229	0.0120917
SMED30000280	0	0	0	0	0
SMED30000281	4.31893	4.27037	4.79421	3.63462	3.77309
SMED30000282	21.4503	18.2164	19.3563	32.2222	34.2912
SMED30000283	0.048591	0.09803	0.13394	0.107924	0.121848
SMED30000284	137.51	132.156	129.69	129.395	123.741
SMED30000285	0.0974454	0.181558	0.152572	0.100166	0.24237
SMED30000286	1.48518	1.75741	1.03505	1.16627	1.15337
SMED30000287	0.241342	0.100629	0.2613	0.437763	0.27057
SMED30000288	0.498609	0.731153	0.704893	0.747006	0.702538
SMED30000289	6.27628	5.85584	5.68429	5.58254	6.84497
SMED30000290	0.861785	0.779235	0.670345	0.576575	0.710818
SMED30000291	20.9893	22.5376	26.4802	19.8791	21.4215
SMED30000292	7.88999	7.62584	8.29222	7.64347	7.69803
SMED30000293	16.6199	18.3116	17.827	19.3098	19.3204
SMED30000294	8.16436	9.04212	9.57496	7.98736	7.80817
SMED30000295	1.40927	0.892628	0.30375	0.286678	0.795053
SMED30000296	17.7103	17.3362	21.3079	19.0314	17.399
SMED30000297	1.25456	1.17948	1.32025	1.31579	1.39197
SMED30000298	0.839135	0.49306	0.940799	0.999782	1.04115
SMED30000299	305.203	307.863	300.268	358.38	337.255
SMED30000300	0	0	0	0	0.0281825
SMED30000301	0	0	0	0.00316137	0
SMED30000302	0.07672	0.0923454	0.128881	0.0239707	0.0913502
SMED30000303	5.88001	6.37967	9.03646	9.84443	8.40739
SMED30000304	0.0753802	0.0645457	0.0405177	0.0419127	0.146444
SMED30000305	82.1031	85.4044	92.9357	76.4542	80.6358
SMED30000306	0.20628	0.278255	0.335062	0.0751333	0.200533
SMED30000307	0	0	0	0	0.0114115
SMED30000308	3.84572	3.4925	3.97138	3.13262	3.16002
SMED30000309	8.18936	7.62733	17.5254	29.2429	24.4142
SMED30000310	9.00351	9.11945	10.4903	9.27493	9.46627
SMED30000311	16.6177	17.5408	19.3256	21.878	20.5905
SMED30000312	2.51995	2.37172	2.39353	2.11451	2.51583
SMED30000313	0.900732	1.01036	0.939638	0.958837	0.802807
SMED30000314	137.007	147.089	156.805	138.072	132.635
SMED30000315	1.45506	0.966293	0.105092	0.0483458	0.0498915
SMED30000316	121.071	117.44	76.817	63.8149	61.8617
SMED30000317	0.0701992	0.046485	0.109518	0.188261	0.0636893
SMED30000318	2.16666	1.53893	1.82637	2.23429	1.60384
SMED30000319	22.5732	26.1557	31.8455	29.7007	27.7958
SMED30000320	0.0241516	0.0775729	0.0260876	0.0213116	0.0809923
SMED30000321	0.0592139	0.136541	0.174668	0.037962	0.058543
SMED30000322	0.822037	0.917308	0.983933	1.04513	1.04449
SMED30000323	0.613222	0.568791	0.549537	0.42369	0.588773
SMED30000324	2.89919	3.01251	3.565	2.84882	3.23055
SMED30000325	2.77931	2.30345	0.280928	0.275744	0.182917
SMED30000326	0.0863632	0.0507669	0.0809919	0.0303422	0.0248859
SMED30000327	0.619073	0.65315	0.957384	0.613387	0.522001
SMED30000328	1.67184	0.809527	1.1794	1.01911	1.2981
SMED30000329	0	0	0	0	0
SMED30000330	3.18636	3.34498	1.91552	1.29529	1.50842
SMED30000331	0.205771	0.311491	0.247701	0.239369	0.152311
SMED30000332	19.4037	16.6265	0.302166	0.0837506	0.0281377
SMED30000333	0.700068	0.975383	0.803849	0.620884	0.838787
SMED30000334	0.481721	0.575713	0.891107	0.419379	0.521225
SMED30000335	0.225482	0.205068	0.147432	0.0247086	0.0679853
SMED30000336	0.644915	0.572676	0.65653	0.659411	0.859894
SMED30000337	109.228	143.549	144.44	125.128	124.396
SMED30000338	1.28364	1.53102	2.527	2.62309	2.6763
SMED30000339	0.530271	0.65912	0.55891	0.4856	0.564422
SMED30000340	1.35883	1.67272	1.78056	1.45409	1.7414
SMED30000341	0.222656	0.126898	0.109967	0.260001	0.315813
SMED30000342	2.15003	1.74042	2.43043	1.45839	1.3381
SMED30000343	9.03826	8.63927	8.97177	5.90964	8.00078
SMED30000344	0.0623132	0.0715404	0.0833543	0.0769912	0.0225982
SMED30000345	7.12473	6.03609	7.0575	10.162	11.297
SMED30000346	28.3414	32.74	28.2075	25.4302	23.2467
SMED30000347	0.015909	0.0337627	0.0656729	0.0140382	0.0390904
SMED30000348	0.0658396	0.0960484	0	0.0464817	0.163346
SMED30000349	0.122643	0.115147	0.132431	0.166501	0.0862184
SMED30000350	33.1946	32.9857	29.0362	28.5152	28.1386
SMED30000351	0.218012	0.147297	0.164687	0.256212	0.437682
SMED30000352	0.993394	0.84929	0.0502474	0.0432274	0
SMED30000353	13.3976	14.2751	16.3584	13.5183	14.5641
SMED30000354	1.05742	0.926628	0.978341	1.35804	1.64691
SMED30000355	0.29042	0.467127	0.269535	0.507585	0.361472
SMED30000356	0	0	0	0	0
SMED30000357	0.552	0.734317	1.01418	0.870699	0.824147
SMED30000358	5.71164	5.83661	6.0183	5.73344	5.7179
SMED30000359	3.34104	3.78515	3.43862	3.87246	3.06807
SMED30000360	5.10024	4.97545	5.53439	7.54552	7.16638
SMED30000361	1.51706	1.14388	2.38178	1.49921	1.51318
SMED30000362	16.4152	18.0472	14.8429	16.5683	16.5459
SMED30000363	3.25579	2.79843	3.20264	2.39872	3.05448
SMED30000364	4.03713	3.3422	5.14372	5.29166	6.24544
SMED30000365	6.12633	6.54991	6.88441	6.14063	6.22538
SMED30000366	0.0173659	0.124998	0.0195909	0.21272	0.219189
SMED30000367	1.63435	1.57214	2.04058	2.12135	2.55839
SMED30000368	0.398806	0.455657	0.632086	0.674338	0.466755
SMED30000369	0.612203	0.496524	0.811893	0.419151	0.713409
SMED30000370	8.78245	7.23416	8.96732	10.8588	9.29744
SMED30000371	3.15725	3.098	3.02382	4.21506	3.45012
SMED30000372	0.406523	0.395239	0.64661	0.659541	0.838247
SMED30000373	241.984	256.079	223.082	237.37	228.108
SMED30000374	0.0254628	0.0589187	0	0.0289771	0.074897
SMED30000375	1.81787	2.49874	2.61373	1.90862	2.16507
SMED30000376	1.62188	1.65079	1.56985	1.79281	2.01522
SMED30000377	13.4903	13.0556	18.1883	24.8528	25.5058
SMED30000378	220.626	211.554	233.197	276.71	231.195
SMED30000379	0.451257	0.714774	0.537338	0.347522	0.407416
SMED30000380	0.0244768	0	0.0256532	0	0.00675537
SMED30000381	0.0074951	0	0	0	0
SMED30000382	0.644711	0.666375	0.904005	0.92325	0.751526
SMED30000383	4.30466	5.0768	5.19059	3.9619	4.36565
SMED30000384	0.0416617	0	0.0218126	0	0.0348032
SMED30000385	0.0659654	0.0673724	0.043035	0.0535789	0.0499662
SMED30000386	1.25101	1.2611	1.25009	1.2875	1.16017
SMED30000387	2.31214	2.40078	2.03379	2.33077	2.72365
SMED30000388	11.1506	12.1922	11.6623	8.84911	10.1224
SMED30000389	1.99957	1.1969	4.56768	9.12247	3.30412
SMED30000390	0.0364661	0.0148912	0.0298531	0.0247663	0.0604316
SMED30000391	0	0.0234489	0.0627633	0	0.0349247
SMED30000392	0.744198	0.503934	0.614225	0.454778	0.606973
SMED30000393	24.7925	25.467	32.2786	35.2594	33.8777
SMED30000394	2.29037	2.24954	2.29264	2.12588	2.19788
SMED30000395	0.266299	0.204785	0.370369	0.269421	0.372701
SMED30000396	17.9521	19.0659	22.9538	17.01	16.8642
SMED30000397	0.753516	0.636002	0.811682	0.609903	0.588162
SMED30000398	0.0615789	0.0794388	0.0596497	0.0559323	0.0482852
SMED30000399	0.476765	0.58541	0.361047	0.319699	0.400146
SMED30000400	0.107019	0.090069	0.0731701	0.0341959	0.0814087
SMED30000401	0.402368	0.358583	0.257869	0.133213	0.138002
SMED30000402	15.6375	15.1144	11.8314	10.682	10.2363
SMED30000403	9.98534	9.45654	9.72038	11.1499	10.7072
SMED30000404	43.5108	42.1203	56.8988	47.5926	43.8454
SMED30000405	11.1514	11.6113	11.0096	10.9803	10.281
SMED30000406	0.0541313	0.0318617	0.1946	0.407884	0.101138
SMED30000407	2.23087	1.77715	0.784578	0.63148	0.711023
SMED30000408	0.0453428	0.0081367	0.0153881	0	0.00606197
SMED30000409	16.9376	19.1012	21.7222	15.3026	16.8893
SMED30000410	0.101553	0.0352591	0.0601453	0.0815947	0.086192
SMED30000411	42.4125	42.8055	42.8532	42.976	44.5829
SMED30000412	0.793936	1.20548	6.56749	0.993685	0.372691
SMED30000413	0.339067	0.241146	0.346025	0.426004	0.471294
SMED30000414	0.272093	0.394633	0.666388	0.519999	0.244113
SMED30000415	0.0196074	0.153649	0	0	0
SMED30000416	0.195678	0.221647	0.324715	0.485319	0.342361
SMED30000417	0.107853	0.462195	0.365494	0.107149	0.228296
SMED30000418	24.8062	24.574	23.0986	18.377	19.2914
SMED30000419	0.720605	0.440664	0.310694	0.313896	0.984593
SMED30000420	0.703484	0.712179	1.06019	0.968238	0.61129
SMED30000421	5.82132	5.0356	4.4817	5.46152	6.09864
SMED30000422	3.15256	2.65857	2.6192	2.8334	3.05998
SMED30000423	0.80078	1.12056	1.0255	1.43673	1.50453
SMED30000424	18.3668	21.5509	23.643	17.1314	17.68
SMED30000425	0.894778	1.106	0.956583	0.487689	0.538344
SMED30000426	0.0070946	0	0	0	0.00815357
SMED30000427	0.289965	0.345252	0.806783	0.3487	0.194774
SMED30000428	321.321	318.46	319.076	316.586	261.167
SMED30000429	1.6862	1.96208	2.23034	2.46956	2.4283
SMED30000430	77.799	76.1332	46.2211	67.0508	58.6238
SMED30000431	10.6773	11.0601	12.7149	12.8796	12.4792
SMED30000432	0.0165913	0.0067752	0.0135826	0.0169023	0.0376316
SMED30000433	0.549398	0.753603	0.557802	0.528528	0.64705
SMED30000434	0.624635	0.599375	0.846651	0.438544	0.502825
SMED30000435	0.378261	0.121918	0.0956111	0.146936	0.15601
SMED30000436	0.51492	0.772518	0.814151	0.702708	0.904197
SMED30000437	0.556479	0.270602	0.327578	0.384651	0.434822
SMED30000438	0.521045	0.407024	0.405061	0.974283	0.46612
SMED30000439	0.710566	0.537468	0.86538	0.405036	0.621365
SMED30000440	9.92879	10.1368	10.7501	14.6514	14.758
SMED30000441	0.0873566	0.0473315	0	0.0336712	0
SMED30000442	0.212132	0.115971	0.155724	0.35935	0.606941
SMED30000443	7.66986	7.38555	4.56651	6.49329	6.84782
SMED30000444	2.70349	1.82036	2.47009	3.67219	3.56869
SMED30000445	2.40155	3.58816	4.18756	4.90013	4.78956
SMED30000446	6.50201	6.46018	10.5108	10.4289	10.0286
